gene_id	mutant_1	mutant_2	mutant_3	mutant_4	mutant_5	normal_1	normal_2	normal_3	normal_4	normal_5
GENE_0147	178	115	195	349	212	165	131	205	365	214
GENE_0148	17	8	35	34	21	33	12	15	25	32
GENE_0149	79	20	29	64	42	40	17	65	57	57
GENE_0150	21	11	16	34	17	14	3	16	24	24
GENE_0151	357	157	285	434	208	415	140	238	292	275
GENE_0152	37	16	16	20	23	18	11	23	32	10
GENE_0153	41	33	41	50	45	65	34	55	68	68
GENE_0154	294	102	221	216	161	166	122	291	265	170
GENE_0155	91	49	72	124	67	70	73	92	78	121
GENE_0156	28	22	29	57	28	27	14	35	27	51
GENE_0157	41	24	27	23	33	30	12	31	47	17
GENE_0158	52	32	17	85	24	26	13	28	31	32
GENE_0159	69	40	60	67	48	127	43	123	127	113
GENE_0160	37	22	36	33	36	29	24	33	51	32
GENE_0161	25	19	30	42	31	35	19	29	35	24
GENE_0162	65	34	66	168	76	89	51	97	95	62
GENE_0163	466	309	420	1003	379	385	317	693	498	490
GENE_0164	499	346	370	573	556	560	350	539	403	354
GENE_0165	202	129	151	255	202	179	121	262	202	134
GENE_0166	587	317	378	554	469	674	273	519	501	506
GENE_0167	253	194	342	358	286	249	131	349	362	220
GENE_0168	349	145	235	438	219	272	251	315	313	189
GENE_0169	68	30	52	58	43	53	35	80	59	75
GENE_0170	32	31	29	90	46	51	24	73	62	49
GENE_0171	381	128	300	530	328	197	158	435	300	311
GENE_0172	262	131	217	260	145	120	113	271	191	154
GENE_0173	429	240	264	715	310	146	103	140	240	146
GENE_0174	90	41	53	127	92	62	53	74	94	80
GENE_0175	217	86	82	152	113	94	63	136	167	165
GENE_0176	228	139	217	244	207	55	41	77	75	68
GENE_0177	228	117	174	245	224	165	82	220	178	210
GENE_0178	50	11	28	81	62	64	37	49	43	63
GENE_0179	259	89	140	129	124	127	96	101	144	90
GENE_0180	276	194	254	477	407	192	164	440	359	255
GENE_0181	25	18	16	34	25	14	16	26	26	28
GENE_0182	178	126	154	156	94	74	57	124	86	110
GENE_0183	319	115	133	198	189	291	115	222	198	179
GENE_0184	301	203	256	376	231	238	168	462	274	266
GENE_0185	31	15	19	23	17	22	8	35	18	22
GENE_0186	47	20	20	31	34	24	25	24	31	21
GENE_0187	84	27	44	110	50	61	20	96	57	81
GENE_0188	541	398	391	922	449	506	341	513	489	599
GENE_0189	85	52	68	170	82	63	36	89	111	74
GENE_0190	73	71	64	99	81	78	41	85	91	100
GENE_0191	26	24	24	38	33	19	17	34	28	13
GENE_0192	50	32	44	64	39	64	51	65	45	52
GENE_0193	198	135	185	307	163	133	151	295	228	150
GENE_0194	121	79	206	140	127	70	73	99	131	138
GENE_0195	221	67	130	167	75	113	54	150	208	101
GENE_0196	248	295	229	477	351	220	119	324	427	274
GENE_0197	238	144	193	237	145	191	129	243	177	230
GENE_0198	95	68	60	120	113	79	63	110	101	73
GENE_0199	123	63	51	153	81	97	37	71	93	101
GENE_0200	20	16	19	52	13	10	14	20	48	20
GENE_0201	28	17	19	18	15	17	7	19	26	17
GENE_0202	192	54	87	206	126	145	91	134	152	142
GENE_0203	30	13	28	50	33	37	12	39	32	23
GENE_0204	47	24	16	48	36	30	27	30	28	37
GENE_0205	35	21	31	32	19	31	27	30	19	45
GENE_0206	544	244	380	565	389	192	179	293	229	212
GENE_0207	29	16	25	63	27	40	17	42	42	30
GENE_0208	437	373	486	585	438	586	286	628	363	452
GENE_0209	407	197	303	429	193	347	165	393	362	215
GENE_0210	8	29	19	23	28	20	26	29	20	18
GENE_0211	91	46	74	103	57	72	47	113	83	50
GENE_0212	24	26	12	25	17	18	9	13	21	34
GENE_0213	215	160	162	266	179	141	75	273	212	232
GENE_0214	41	12	25	49	22	27	13	48	33	48
GENE_0215	25	16	19	64	20	31	15	37	21	35
GENE_0216	246	139	151	386	112	129	97	150	174	114
GENE_0217	258	205	182	333	277	255	192	331	306	496
GENE_0218	207	125	148	251	212	187	125	261	233	244
GENE_0219	253	232	301	555	276	465	144	335	422	252
GENE_0220	29	14	29	37	20	20	17	19	29	27
GENE_0221	145	89	128	204	115	112	78	217	127	149
GENE_0222	90	63	85	110	58	83	28	88	126	91
GENE_0223	38	22	22	56	25	25	15	56	50	38
GENE_0224	300	231	211	400	218	253	209	407	384	313
GENE_0225	169	95	74	175	116	137	67	123	245	176
GENE_0226	89	40	46	109	43	97	52	99	123	146
GENE_0227	30	8	12	20	18	22	23	47	51	62
GENE_0228	35	16	21	74	16	36	17	19	25	22
GENE_0229	42	21	24	40	19	21	13	31	30	31
GENE_0230	1004	385	649	1118	727	412	290	489	379	434
GENE_0231	100	41	67	134	48	306	179	337	219	224
GENE_0232	121	55	63	102	58	73	47	115	86	78
GENE_0233	16	7	11	30	10	16	13	30	18	27
GENE_0234	124	82	101	115	97	127	66	162	126	133
GENE_0235	374	202	208	439	297	420	204	347	271	287
GENE_0236	321	253	157	553	256	260	189	398	510	383
GENE_0237	444	288	325	418	298	208	192	394	334	310
GENE_0238	15	12	22	30	15	25	9	14	26	27
GENE_0239	358	223	196	357	210	134	75	188	196	167
GENE_0240	659	405	392	902	388	475	234	500	657	683
GENE_0241	634	368	373	633	424	532	349	493	288	404
GENE_0242	19	16	22	38	18	27	7	23	27	38
GENE_0243	105	74	63	120	63	75	58	131	95	103
GENE_0244	81	54	59	125	77	59	41	106	101	112
GENE_0245	126	30	49	127	74	54	51	80	112	83
GENE_0246	36	17	26	33	29	26	17	29	31	34
GENE_0247	332	170	239	520	384	368	150	319	285	232
GENE_0248	71	39	67	163	66	91	54	61	112	96
GENE_0249	85	24	29	90	40	53	30	76	76	76
GENE_0250	149	77	102	147	103	108	54	130	108	92
GENE_0251	43	16	21	27	13	14	13	19	27	21
GENE_0252	65	52	78	119	56	90	22	124	81	75
GENE_0253	199	118	121	290	222	229	104	313	268	297
GENE_0254	110	115	90	168	116	101	57	142	117	66
GENE_0255	316	247	214	302	205	301	118	458	233	420
GENE_0256	394	204	227	471	274	262	192	434	321	380
GENE_0257	17	12	14	22	10	15	10	30	13	20
GENE_0258	98	32	60	86	117	112	36	103	108	104
GENE_0259	397	485	367	859	454	539	240	518	608	497
GENE_0260	489	189	243	582	207	299	201	438	344	284
GENE_0261	947	353	287	538	399	510	311	540	577	417
GENE_0262	150	85	89	166	114	113	59	132	138	130
GENE_0263	547	468	563	669	298	437	164	497	603	564
GENE_0264	46	22	58	79	53	38	31	71	62	70
GENE_0265	62	32	40	104	51	50	38	95	64	47
GENE_0266	41	19	18	49	26	24	28	35	51	24
GENE_0267	716	330	334	657	497	501	441	616	387	316
GENE_0268	75	49	32	69	41	32	18	53	43	32
GENE_0269	575	337	440	768	360	457	230	539	772	470
GENE_0270	519	279	260	887	345	581	244	702	453	391
GENE_0271	17	26	43	39	25	88	62	85	110	97
GENE_0272	47	16	24	20	34	33	14	36	31	28
GENE_0273	132	123	94	154	119	115	53	93	126	122
GENE_0274	28	14	21	42	27	45	32	56	56	45
GENE_0275	21	12	8	23	17	17	10	24	16	20
GENE_0276	26	14	18	21	18	29	8	16	20	14
GENE_0277	23	12	10	29	23	20	10	21	21	14
GENE_0278	38	26	40	51	60	50	29	83	51	43
GENE_0279	36	26	22	48	30	19	22	28	27	15
GENE_0280	44	33	45	35	29	33	27	42	23	33
GENE_0281	17	8	12	22	9	21	13	36	26	21
GENE_0282	262	166	291	564	309	265	234	263	447	278
GENE_0283	57	71	61	83	95	77	19	108	75	92
GENE_0284	83	28	56	68	34	46	22	70	64	47
GENE_0285	80	32	43	42	43	57	45	105	78	73
GENE_0286	14	20	14	37	27	23	15	34	21	30
GENE_0287	44	14	34	52	17	29	8	41	27	39
GENE_0288	181	93	139	226	148	31	31	83	77	54
GENE_0289	96	80	98	174	96	107	95	101	137	80
GENE_0290	414	396	407	666	400	528	260	764	617	432
GENE_0291	211	176	182	309	219	142	142	235	214	209
GENE_0292	20	20	34	40	20	21	17	30	29	13
GENE_0293	125	73	114	195	94	166	86	117	148	121
GENE_0294	17	18	21	25	15	18	13	17	19	22
GENE_0295	67	23	34	72	32	45	16	69	71	58
GENE_0296	18	17	28	26	29	27	13	14	25	18
GENE_0297	124	76	68	79	105	81	49	118	68	72
GENE_0298	24	19	17	39	21	17	5	20	23	15
GENE_0299	82	33	69	40	38	55	38	63	45	61
GENE_0300	506	479	310	576	533	468	302	458	467	576
GENE_0301	18	16	8	22	7	28	8	14	19	14
GENE_0302	29	15	16	19	17	14	15	20	26	11
GENE_0303	231	143	124	254	207	189	145	249	265	219
GENE_0304	190	183	183	231	191	145	105	399	174	182
GENE_0305	47	23	23	46	36	40	23	39	41	36
GENE_0306	56	39	46	58	23	53	18	72	76	66
GENE_0307	31	20	25	49	26	29	22	33	27	22
GENE_0308	102	36	62	139	65	57	53	114	99	75
GENE_0309	349	197	425	566	364	205	207	405	294	379
GENE_0310	160	100	117	243	129	111	63	129	141	85
GENE_0311	124	96	94	136	104	144	73	212	276	150
GENE_0312	25	40	19	42	26	39	8	30	48	45
GENE_0313	27	15	15	46	14	22	11	16	15	19
GENE_0314	106	52	61	132	100	113	44	92	111	60
GENE_0315	42	15	29	37	24	20	14	35	45	33
GENE_0316	271	96	156	281	138	199	144	184	184	175
GENE_0317	539	410	498	682	354	339	268	859	664	592
GENE_0318	38	15	26	27	19	18	14	31	19	11
GENE_0319	60	37	52	62	40	57	27	71	60	60
GENE_0320	108	54	54	139	95	52	50	123	77	102
GENE_0321	54	42	44	100	46	51	21	106	51	45
GENE_0322	86	45	55	117	71	73	56	112	126	61
GENE_0323	54	43	49	52	68	62	22	64	60	49
GENE_0324	174	73	81	212	127	68	32	115	40	76
GENE_0325	13	17	14	23	10	77	50	98	81	66
GENE_0326	35	25	40	50	37	34	16	34	20	37
GENE_0327	28	17	22	52	17	33	14	37	29	29
GENE_0328	175	184	158	230	155	193	87	185	219	196
GENE_0329	72	53	62	109	90	63	57	73	118	62
GENE_0330	189	201	157	252	215	83	61	93	103	64
GENE_0331	367	157	253	229	246	326	165	403	353	256
GENE_0332	31	25	23	31	19	52	21	29	38	39
GENE_0333	95	76	69	114	100	78	52	137	135	68
GENE_0334	199	163	143	218	216	176	83	344	180	185
GENE_0335	26	10	22	33	16	12	8	25	28	19
GENE_0336	161	75	139	199	97	93	95	154	134	97
GENE_0337	114	83	105	203	139	78	61	134	130	143
GENE_0338	161	140	189	361	143	145	132	204	235	173
GENE_0339	284	383	251	412	259	285	131	316	474	325
GENE_0340	65	31	73	95	70	42	29	30	80	57
GENE_0341	23	20	13	21	28	13	13	21	21	21
GENE_0342	71	56	57	116	52	64	74	98	85	41
GENE_0343	84	58	68	123	65	72	42	66	95	100
GENE_0344	76	32	69	95	59	47	27	51	63	62
GENE_0345	171	117	166	243	130	145	100	243	198	221
GENE_0346	148	81	112	208	107	114	48	101	170	95
GENE_0347	27	16	23	41	21	12	14	30	17	36
GENE_0348	14	29	10	24	11	24	9	16	18	20
GENE_0349	23	21	6	33	21	13	8	16	26	16
GENE_0350	536	360	444	884	373	424	355	632	755	508
GENE_0351	78	79	114	222	151	118	69	187	161	110
GENE_0352	656	463	459	807	396	583	400	488	576	646
GENE_0353	32	16	13	31	13	17	7	32	27	19
GENE_0354	232	117	174	209	89	45	35	62	73	43
GENE_0355	51	30	45	59	37	33	35	50	72	26
GENE_0356	281	228	274	332	256	313	154	322	285	314
GENE_0357	41	52	27	56	42	41	39	44	43	52
GENE_0358	288	175	215	482	267	297	197	415	453	278
GENE_0359	356	196	314	515	198	242	194	377	394	264
GENE_0360	861	398	466	928	546	372	252	502	663	532
GENE_0361	206	177	120	391	203	283	139	268	193	166
GENE_0362	97	108	70	124	123	72	68	110	137	153
GENE_0363	206	124	150	193	132	79	52	97	97	143
GENE_0364	333	214	220	422	330	486	220	328	270	337
GENE_0365	89	64	60	129	90	63	52	90	60	95
GENE_0366	64	13	19	43	35	80	43	68	53	56
GENE_0367	34	25	32	47	38	35	19	46	31	37
GENE_0368	457	254	417	729	447	275	180	337	266	251
GENE_0369	100	45	75	91	61	44	41	76	57	53
GENE_0370	251	159	151	279	142	184	105	159	204	171
GENE_0371	36	19	27	47	9	22	13	25	32	21
GENE_0372	143	83	63	195	102	147	79	128	104	134
GENE_0373	101	75	59	90	50	52	36	65	72	94
GENE_0374	399	146	302	597	325	222	148	359	283	226
GENE_0375	827	526	376	883	636	626	276	423	536	423
GENE_0376	243	174	315	453	337	286	202	428	329	256
GENE_0377	75	32	50	93	34	54	26	55	66	52
GENE_0378	406	158	244	405	341	232	158	353	199	309
GENE_0379	16	8	11	18	18	13	21	18	13	15
GENE_0380	349	220	130	321	219	315	247	577	502	582
GENE_0381	236	140	186	292	148	300	116	270	359	118
GENE_0382	197	192	182	346	153	178	150	399	245	164
GENE_0383	470	234	251	350	264	297	157	364	304	240
GENE_0384	20	9	13	36	13	15	13	26	13	17
GENE_0385	20	16	21	41	6	15	21	21	22	16
GENE_0386	45	17	28	43	26	28	19	33	45	37
GENE_0387	27	9	18	28	14	8	5	16	22	15
GENE_0388	45	41	24	51	36	84	37	75	65	46
GENE_0389	112	80	63	116	63	57	47	68	67	97
GENE_0390	31	27	15	41	32	39	14	36	27	48
GENE_0391	420	396	387	587	528	405	255	623	379	686
GENE_0392	181	146	228	302	182	273	104	157	267	173
GENE_0393	33	18	25	56	33	29	20	23	22	38
GENE_0394	21	17	19	25	18	16	17	27	19	14
GENE_0395	844	262	411	680	467	397	206	584	441	380
GENE_0396	77	34	46	57	55	75	24	53	49	62
GENE_0397	113	67	68	96	53	95	42	77	90	68
GENE_0398	30	21	27	38	33	30	11	32	46	41
GENE_0399	101	65	61	116	74	80	66	104	130	90
GENE_0400	191	89	170	247	180	30	20	67	47	49
GENE_0401	26	18	18	48	24	20	14	54	30	19
GENE_0402	382	246	244	429	242	298	202	365	304	278
GENE_0403	777	328	362	548	628	462	259	785	447	537
GENE_0404	56	27	63	78	58	49	47	43	48	46
GENE_0405	142	78	85	174	92	136	68	200	134	122
GENE_0406	511	360	530	773	448	653	234	644	608	645
GENE_0407	101	63	63	108	96	122	42	92	113	61
GENE_0408	53	32	52	67	42	32	29	49	71	45
GENE_0409	178	58	93	137	106	92	59	116	102	111
GENE_0410	632	353	480	833	339	436	357	547	529	477
GENE_0411	567	282	371	691	377	425	250	442	524	394
GENE_0412	372	224	285	741	283	290	152	435	259	362
GENE_0413	334	278	224	434	349	264	211	193	344	241
GENE_0414	177	89	65	225	84	129	54	161	128	160
GENE_0415	451	358	398	684	523	381	186	452	706	381
GENE_0416	131	62	103	138	105	79	68	144	89	189
GENE_0417	330	147	173	298	234	136	121	197	212	215
GENE_0418	1328	607	655	1193	478	288	138	238	321	278
GENE_0419	517	348	391	710	634	609	219	456	582	485
GENE_0420	17	9	14	32	13	32	11	13	38	42
GENE_0421	296	190	315	398	298	384	149	308	350	266
GENE_0422	47	32	21	46	20	27	16	43	28	18
GENE_0423	814	235	487	721	269	462	326	413	550	514
GENE_0424	361	213	194	501	236	350	148	389	271	251
GENE_0425	67	37	55	105	52	48	40	35	30	37
GENE_0426	19	22	10	15	19	30	21	46	65	41
GENE_0427	120	55	57	91	78	100	57	82	69	32
GENE_0428	482	264	389	879	309	627	251	513	323	636
GENE_0429	170	93	114	166	140	133	74	142	171	129
GENE_0430	119	77	122	121	112	106	57	207	160	107
GENE_0431	29	11	8	24	18	40	29	53	57	57
GENE_0432	160	94	108	176	100	127	53	145	157	105
GENE_0433	23	11	28	36	25	22	20	32	39	44
GENE_0434	36	22	16	43	27	42	17	19	42	33
GENE_0435	113	63	113	107	63	156	99	184	125	111
GENE_0436	760	396	301	662	407	463	242	514	730	536
GENE_0437	282	187	275	463	375	174	196	471	441	290
GENE_0438	494	486	263	676	550	455	409	525	876	458
GENE_0439	85	61	48	132	94	71	42	68	116	79
GENE_0440	35	17	21	35	37	49	22	34	21	31
GENE_0441	45	15	34	44	27	24	9	36	25	45
GENE_0442	115	57	123	143	107	125	80	101	206	103
GENE_0443	46	16	27	55	30	30	11	27	22	30
GENE_0444	67	37	47	71	30	113	36	152	124	109
GENE_0445	105	60	86	112	79	102	54	93	96	85
GENE_0446	46	20	23	40	21	23	18	26	27	26
GENE_0447	30	17	29	43	32	13	18	29	14	29
GENE_0448	19	11	14	31	18	16	12	22	29	12
GENE_0449	355	341	379	830	287	403	271	534	524	577
GENE_0450	71	43	12	57	33	50	23	37	36	40
GENE_0451	507	266	458	452	420	555	276	696	469	578
GENE_0452	58	72	31	110	34	93	56	116	99	101
GENE_0453	72	75	64	141	101	56	39	74	73	62
GENE_0454	66	68	47	146	90	75	56	73	104	61
GENE_0455	200	112	179	318	179	215	103	262	143	212
GENE_0456	165	76	122	169	128	121	64	109	154	128
GENE_0457	293	199	250	483	319	173	258	460	316	289
GENE_0458	92	35	40	135	95	58	31	86	84	51
GENE_0459	15	18	15	26	21	28	12	31	14	15
GENE_0460	268	232	248	522	316	279	160	317	335	255
GENE_0461	395	198	220	383	262	365	207	326	268	269
GENE_0462	202	93	83	189	117	155	64	104	162	108
GENE_0463	24	10	17	37	30	16	14	22	15	10
GENE_0464	52	37	47	66	49	48	31	55	64	37
GENE_0465	50	28	16	49	33	37	17	45	21	34
GENE_0466	107	47	74	93	84	81	49	105	91	97
GENE_0467	80	59	77	111	88	57	57	109	74	87
GENE_0468	180	184	146	238	240	207	93	184	255	186
GENE_0469	363	190	309	517	266	374	187	315	299	458
GENE_0470	100	43	89	95	75	108	51	63	110	97
GENE_0471	245	172	160	254	174	193	127	253	229	310
GENE_0472	30	19	29	37	22	22	14	50	31	28
GENE_0473	148	61	164	188	136	124	62	108	133	133
GENE_0474	20	13	24	27	33	25	23	36	46	55
GENE_0475	24	20	35	61	28	21	21	39	31	26
GENE_0476	131	69	100	149	106	99	54	120	138	181
GENE_0477	332	269	239	528	305	286	183	260	250	300
GENE_0478	35	17	27	38	29	19	23	18	31	34
GENE_0479	239	122	221	480	177	169	69	290	172	138
GENE_0480	405	199	247	407	295	190	178	225	319	248
GENE_0481	410	234	321	566	167	358	182	271	466	337
GENE_0482	1170	706	639	1148	879	423	361	330	419	452
GENE_0483	28	12	21	28	15	11	19	18	15	20
GENE_0484	187	160	224	410	164	183	119	373	210	173
GENE_0485	93	100	178	126	159	101	64	100	123	122
GENE_0486	67	63	51	138	71	76	47	157	81	86
GENE_0487	50	25	41	54	27	103	55	124	81	144
GENE_0488	39	17	22	54	24	39	13	39	22	34
GENE_0489	327	127	283	421	304	270	212	343	426	361
GENE_0490	81	35	62	139	84	83	43	46	65	109
GENE_0491	204	197	208	381	109	228	121	137	264	199
GENE_0492	607	285	389	825	571	123	50	143	135	200
GENE_0493	192	93	161	151	116	80	62	159	162	93
GENE_0494	222	197	220	222	200	131	104	254	182	253
GENE_0495	51	34	35	62	53	62	33	69	56	57
GENE_0496	40	19	21	24	40	24	12	29	15	45
GENE_0497	346	197	252	413	290	255	211	336	354	289
GENE_0498	42	14	25	53	38	40	16	44	29	29
GENE_0499	51	24	45	44	54	45	29	42	96	34
GENE_0500	85	58	69	137	70	93	43	87	69	81
GENE_0501	51	25	19	34	36	35	15	38	22	39
GENE_0502	743	421	376	703	626	605	258	442	628	323
GENE_0503	127	43	83	106	77	144	107	106	162	189
GENE_0504	263	237	286	452	263	141	179	290	205	299
GENE_0505	180	123	96	161	126	243	112	215	216	205
GENE_0506	72	24	60	62	38	60	33	45	57	83
GENE_0507	171	87	108	172	119	107	68	104	103	133
GENE_0508	114	50	64	141	64	79	39	86	104	42
GENE_0509	261	200	183	300	232	95	57	96	98	101
GENE_0510	142	57	117	157	84	98	91	94	123	112
GENE_0511	102	51	66	109	68	77	51	87	95	78
GENE_0512	40	15	10	26	19	20	14	16	30	8
GENE_0513	116	120	99	203	159	140	126	306	440	175
